Cefoperazone	Clindamycin	Streptomycin	ko	gene	pathway	grouping	KEGG_code
772	416	1037	K01226	treA;_trehalose-6-phosphate_hydrolase_(EC:3.2.1.93)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_30910
0	2	9	none	beta-glucosidase_(EC:3.2.1.58)	none	Polysaccharide catabolism	cdf:CD630_00320
11	80	54	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_03890
71	19	48	K01223	6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_08180
2	1	3	K01232	maltose-6'-phosphate_glucosidase_(EC:3.2.1.122)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_086401
14	4	27	K01232	6-phospho-beta-glucosidase_(EC:3.2.1.86)	Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_13380
1	38	18	none	phospho-alpha-glucosidase_(EC:3.2.1.122)	none	Polysaccharide catabolism	cdf:CD630_30600
0	12	8	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_30950
0	9	5	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_30960
3	1	4	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_31150
7	1	4	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_31240
3	1	9	K01223	bglA;_6-phospho-beta-glucosidase_(EC:3.2.1.86)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism	Polysaccharide catabolism	cdf:CD630_31360
54	24	96	K03478	celG;_cellobiose-phosphate_degrading_protein	none	Polysaccharide catabolism	cdf:CD630_28810
1	1	9	K02774	PTS_system_galactitol-specific_transporter_subunit_IIB	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_00420
0	2	4	K02775	PTS_system_galactitol-specific_transporter_subunit_IIC	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_00430
33	8	44	K02759	PTS_system_lactose/cellobiose-family_transporter_subunit_IIA	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_01350
51	20	116	K02760	PTS_system_lactose/cellobiose-family_transporter_subunit_IIB	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_01360
73	22	130	K02761	PTS_system_lactose/cellobiose-family_transporter_subunit_IIC	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_01370
1	13	33	K02768	PTS_system_fructose-like_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02060
2	19	68	K11203	PTS_system_fructose-like_transporter_subunit_IIC	none	PEP group translocators	cdf:CD630_02070
2	21	61	K11202	PTS_system_fructose-like_transporter_subunit_IIB_(EC:2.7.1.69)	none	PEP group translocators	cdf:CD630_02080
1	0	7	K02793	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02840
2	1	9	none	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB_(EC:2.7.1.69)	none	PEP group translocators	cdf:CD630_02850
1	1	10	K17464	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02860
1	2	9	K17465	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB_(EC:2.7.1.69)	Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02870
2	2	11	K17466	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIC	Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02880
3	1	14	K17467	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Pentose_phosphate_pathway;Metabolism;Carbohydrate_metabolism|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_02890
11	83	59	K02755	bglF;_PTS_system_beta-glucoside-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_03880
5	23	122	K02793	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04910
4	24	133	K02794	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04920
7	31	190	K02795	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04930
11	43	257	K02796	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_04940
6	0	115	K02783	srlA;_PTS_system_glucitol/sorbitol-specific_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07640
8	0	109	K02782	srlEa;_PTS_system_sorbitol-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07650
7	1	124	K02783	srlEb;_PTS_system_glucitol/sorbitol-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07660
7	1	83	K02781	srlB;_PTS_system_sorbitol-specific_transporter_subunit_IIA_(EC:2.7.1.-)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_07670
165	53	348	none	PTS_system_transporter_subunit_IIB	none	PEP group translocators	cdf:CD630_08130
6	2	4	K02793	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10740
7	1	7	K02794	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10760
5	1	6	K02795	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10770
10	3	7	K02796	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10780
32	12	61	K02774	PTS_system_transporter_subunit_IIB	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_10830
6	3	11	K02790	PTS_system_maltose_and_glucose-specific_transporter_subunits_IICB_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_13360
20	9	25	K02760	PTS_system_lactose/cellobiose-family_transporter_subunit_IIB	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_16020
15	6	443	K02768	fruABC;_PTS_system_fructose-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_22690
1	7	11	K02775	PTS_system_fructose/mannitol_family_transporter_subunit_IIC	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_22800
1	6	13	K02774	PTS_system_fructose/mannitol_family_transporter_subunit_IIB	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_22810
0	6	7	none	PTS_system_fructose/mannitol_family_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_22820
50	28	605	K02775	PTS_system_fructose/mannitol_family_transporter_subunit_IIC	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23250
30	20	324	K02774	PTS_system_fructose/mannitol_family_transporter_subunit_IIB_(EC:2.7.1.69)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23260
18	9	255	K02773	PTS_system_fructose/mannitol_family_transporter_subunit_IIA_(EC:2.7.1.69)	Galactose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23270
405	2	169	K02798	mtlF;_PTS_system_mannitol-specific_transporter_subunit_IIA_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23320
261	2	125	K02799	mtlA;_PTS_system_mannitol-specific_transporter_subunit_IICB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_23340
23	6	41	K11203	PTS_system_fructose-like_transporter_subunit_IIC	none	PEP group translocators	cdf:CD630_24860
22	6	37	K11202	PTS_system_fructose-like_transporter_subunit_IIB_(EC:2.7.1.69)	none	PEP group translocators	cdf:CD630_24870
13	2	19	K02806	PTS_system_fructose-like_transporter_subunit_IIA	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_24880
0	11	7	K02790	PTS_system_glucose-like_transporter_subunit_IIBC_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25100
0	12	6	K02777	PTS_system_glucose-like_transporter_subunit_IIA_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25120
3	3	28	K02822	PTS_system_fructose/mannitol-family_transporter_subunit_IIB_(EC:2.7.1.69)	Ascorbate_and_aldarate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25550
3	4	35	none	PTS_system_fructose/mannitol-family_transporter_subunit_IIAB	none	PEP group translocators	cdf:CD630_25560
0	3	34	K02768	PTS_system_mannose-specfic_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25660
1	9	92	K02769	PTS_system_mannose-specfic_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25670
3	20	145	K02770	PTS_system_mannose-specfic_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_25680
1	3	3	K02763	ptsG-A;_PTS_system_glucose-specific_transporter_subunit_IIA_(EC:2.7.1.69)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_26660
2	2	4	K02763	ptsG-BC;_PTS_system_glucose-specific_transporter_subunit_IIBC_(EC:2.7.1.69)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_26670
300	72	130	K11189	ptsH;_PTS_system_HPr_protein	none	PEP group translocators	cdf:CD630_27560
42	18	68	K02759	celC;_PTS_system_cellobiose-specific_transporter_subunit_IIA_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_28800
3	2	40	K02761	celB;_PTS_system_cellobiose-specific_transporter_subunit_IIC	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_28830
4	2	27	K02760	celA;_PTS_system_cellobiose-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_28840
4	3	48	K02770	PTS_system_mannose-specfic_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30130
3	2	47	K02769	PTS_system_mannose-specfic_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30140
8	3	41	K02768	PTS_system_mannose-specfic_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30150
1	3	4	K02761	PTS_system_lactose/cellobiose-family_transporter_subunit_IIC	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30480
1	25	12	none	PTS_system_alpha-glucoside-specific_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_30580
0	25	12	K02749	PTS_system_alpha-glucoside-specific_transporter_subunit_IICB_(EC:2.7.1.69)	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30610
112	44	59	K02793	xynA;_PTS_system_xyloside-specific_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30670
102	37	45	K02794	xynB;_PTS_system_xyloside-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30680
102	35	46	K02796	xynD;_PTS_system_xyloside-specific_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30690
70	32	28	K02795	xynC;_PTS_system_xyloside-specific_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30700
62	19	66	K02769	tagABC;_PTS_system_tagatose-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_307501
6	2	5	K11198	mngA;_PTS_system_2-O-a-mannosyl-D-glycerate_specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_308601
762	746	1807	K02803	PTS_system_glucose-like_transporter_subunit_IIBC_(EC:2.7.1.69)	Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30890
0	9	5	K02755	bglF;_PTS_system_beta-glucoside-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_30970
4	4	11	K02777	PTS_system_glucose-like_transporter_subunit_IIA	Glycolysis_/_Gluconeogenesis;Metabolism;Carbohydrate_metabolism|Starch_and_sucrose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_31030
5	2	4	K02755	bglF;_PTS_system_beta-glucoside-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_31250
4	4	17	none	PTS_system_fructose-like_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_31320
34	49	140	K02768	PTS_system_fructose-like_transporter_subunit_IIABC_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_31340
3	1	7	K02755	bglF;_PTS_system_beta-glucoside-specific_transporter_subunit_IIABC_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_31370
2	15	31	K02796	PTS_system_mannose/fructose/sorbose_transporter_subunit_IID	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32760
1	10	20	K02795	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIC	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32770
1	6	14	K02793	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIA	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32780
0	6	9	K02794	PTS_system_mannose/fructose/sorbose_transporter_subunit_IIB_(EC:2.7.1.69)	Fructose_and_mannose_metabolism;Metabolism;Carbohydrate_metabolism|Amino_sugar_and_nucleotide_sugar_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_32790
51	9	81	K02761	PTS_system_lactose/cellobiose-family_transporter_subunit_IIC	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_34430
36	12	72	K02760	PTS_system_lactose/cellobiose-family_transporter_subunit_IIB	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_34440
28	6	35	none	PTS_system_lactose/cellobiose-family_transporter_subunit_IIA	none	PEP group translocators	cdf:CD630_34450
7	46	73	K03475	PTS_system_ascorbate-specific_transporter_subunit_IIC	Ascorbate_and_aldarate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36290
9	35	57	K02822	PTS_system_fructose/mannitol-family_transporter_subunit_IIB	Ascorbate_and_aldarate_metabolism;Metabolism;Carbohydrate_metabolism|Metabolic_pathways;Metabolism;Global_and_overview_maps|Microbial_metabolism_in_diverse_environments;Metabolism;Global_and_overview_maps|Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36300
4	5	10	K02759	licA;_PTS_system_lichenan-specific_transporter_subunit_IIA	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36470
3	4	9	K02760	licB;_PTS_system_lichenan-specific_transporter_subunit_IIB_(EC:2.7.1.69)	Phosphotransferase_system_(PTS);Environmental_Information_Processing;Membrane_transport	PEP group translocators	cdf:CD630_36480
18	5	11	none	PTS_system_lactose/cellobiose-family_transporter_subunit_IIC	none	PEP group translocators	cdf:CD630_36500
44	13	17	none	pyridoxal_phosphate-dependent_transferase;_putative_aluminium_resistance	none	PEP group translocators	cdf:CD630_19730
86	172	441	none	pyridoxal_phosphate-dependent_transferase	none	PEP group translocators	cdf:CD630_23820
0	13	6	none	pyridoxal_phosphate-dependent_transferase_(EC:2.6.1.-)	none	PEP group translocators	cdf:CD630_24240
