Compound_code	Compound_name	Metabolite_score	p_value
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil	0.0	n.s.
C00666	LL-2,6-Diaminoheptanedioate	0.0	<0.05
C00663	beta-D-Glucose_1-phosphate	0.0	<0.01
C02163	L-Arginyl-tRNA(Arg)	-2.0	<0.01
C00988	2-Phosphoglycolate	0.0	<0.01
C00989	4-Hydroxybutanoic_acid	0.0	<0.01
C00114	Choline	0.0	<0.01
C00117	D-Ribose_5-phosphate	5.544	<0.01
C00116	Glycerol	0.0	n.s.
C00111	Glycerone_phosphate	-1.252	n.s.
C02380	6-Mercaptopurine	3.322	<0.01
C00112	CDP	-2.982	<0.01
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-5.571	<0.01
C00118	D-Glyceraldehyde_3-phosphate	4.028	<0.01
C06416	Precorrin_5	-1.585	<0.01
C11929	Perillyl-CoA	3.17	<0.01
C01346	dUDP	-1.0	<0.01
C11924	Perillic_acid	0.0	<0.01
C05750	3-Oxooctanoyl-[acp]	-2.755	n.s.
C05751	trans-Oct-2-enoyl-[acp]	-0.0	<0.01
C14145	(3S)-3-Hydroxyadipyl-CoA	2.585	<0.01
C05753	3-Oxodecanoyl-[acp]	-2.755	n.s.
C05754	trans-Dec-2-enoyl-[acp]	-0.0	<0.01
C05755	Decanoyl-[acp]	3.0	<0.01
C05756	3-Oxododecanoyl-[acp]	-3.17	<0.01
C05757	(R)-3-Hydroxydodecanoyl-[acp]	1.0	<0.01
C05758	trans-Dodec-2-enoyl-[acp]	-0.0	<0.01
C05759	3-Oxotetradecanoyl-[acp]	-3.17	<0.01
C05811	2-Octaprenyl-6-hydroxyphenol	0.0	<0.01
C05810	2-Octaprenylphenol	0.0	<0.01
C00236	3-Phospho-D-glyceroyl_phosphate	0.0	n.s.
C00188	L-Threonine	3.358	<0.01
C00189	Ethanolamine	2.585	<0.01
C00186	(S)-Lactate	0.0	n.s.
C00185	Cellobiose	0.0	<0.01
C00183	L-Valine	3.322	<0.01
C00180	Benzoate	0.0	<0.01
C00181	D-Xylose	0.0	<0.01
C02909	(2-Naphthyl)methanol	3.087	<0.01
C00159	D-Mannose	1.807	<0.01
C04216	all-trans-Heptaprenyl_diphosphate	-0.0	<0.01
C04051	5-Amino-4-imidazolecarboxyamide	-2.0	<0.01
C00011	CO2	4.299	<0.01
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	0.0	n.s.
C02553	L-Seryl-tRNA(Ser)	-4.858	n.s.
C16348	cis-3-Chloroallyl_aldehyde	-1.35	<0.01
C02946	4-Acetamidobutanoate	0.0	<0.01
C16586	2-Phenyl-1,3-propanediol_monocarbamate	0.0	<0.01
C05378	beta-D-Fructose_1,6-bisphosphate	1.7	<0.01
C00015	UDP	-2.544	<0.01
C05100	3-Ureidoisobutyrate	0.0	<0.01
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	0.0	n.s.
C00151	L-Amino_acid	0.0	<0.01
C05823	3-Mercaptolactate	0.0	<0.01
C02988	L-Histidyl-tRNA(His)	-1.585	<0.01
C16551	Alcophosphamide	0.0	<0.01
C06715	3-Oxopimeloyl-CoA	0.0	<0.01
C06714	3-Hydroxypimeloyl-CoA	-3.17	<0.01
C16466	7-Methyl-3-oxo-6-octenoyl-CoA	0.0	<0.01
C16219	3-Oxostearoyl-[acp]	-3.17	<0.01
C09306	Sulfur_dioxide	-0.0	<0.01
C00254	Prephenate	0.0	<0.01
C16237	Protein_N6-(lipoyl)lysine	0.0	<0.01
C00931	Porphobilinogen	0.0	<0.01
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	0.0	<0.01
C16238	Lipoyl-AMP	0.0	n.s.
C18239	Precursor_Z	0.0	<0.01
C00446	alpha-D-Galactose_1-phosphate	0.0	<0.01
C00445	5,10-Methenyltetrahydrofolate	0.415	n.s.
C01762	Xanthosine	1.322	<0.01
C00441	L-Aspartate_4-semialdehyde	4.087	<0.01
C00440	5-Methyltetrahydrofolate	2.465	n.s.
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	0.0	n.s.
C00526	Deoxyuridine	0.0	n.s.
C00527	Glutaryl-CoA	0.0	<0.01
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	0.0	<0.01
C00522	(R)-Pantoate	0.0	<0.05
C00448	trans,trans-Farnesyl_diphosphate	-0.585	<0.01
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	0.0	<0.01
C01024	Hydroxymethylbilane	-0.0	<0.01
C12739	5'-Deoxy-5-fluorouridine	-0.0	<0.01
C00009	Orthophosphate	-0.0	<0.01
C01909	Dethiobiotin	0.0	n.s.
C00068	Thiamin_diphosphate	0.0	<0.01
C04133	N-Acetyl-L-glutamate_5-phosphate	0.0	<0.01
C03838	5'-Phosphoribosylglycinamide	0.0	<0.05
C00288	HCO3-	0.0	<0.01
C03722	Quinolinate	0.0	<0.01
C05402	Melibiose	0.0	<0.01
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	0.585	<0.01
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.0	<0.01
C03939	Acetyl-[acyl-carrier_protein]	1.778	<0.01
C00054	Adenosine_3',5'-bisphosphate	-2.322	<0.01
C04039	2,3-Dihydroxy-3-methylbutanoate	0.0	<0.01
C00627	Pyridoxine_phosphate	0.0	<0.01
C00459	dTTP	0.193	<0.01
C01228	Guanosine_3',5'-bis(diphosphate)	0.0	<0.01
C00239	dCMP	0.0	n.s.
C00725	Lipoate	0.0	<0.01
C00231	D-Xylulose_5-phosphate	-1.107	n.s.
C00232	Succinate_semialdehyde	0.0	n.s.
C00233	4-Methyl-2-oxopentanoate	0.0	<0.01
C00234	10-Formyltetrahydrofolate	-1.893	<0.01
C00235	Dimethylallyl_diphosphate	1.678	n.s.
C01613	Stachyose	0.0	<0.01
C00237	CO	2.867	n.s.
C00010	CoA	1.222	<0.01
C00158	Citrate	0.0	n.s.
C00012	Peptide	6.0	<0.01
C00014	Ammonia	-1.556	<0.01
C05980	Cardiolipin	-1.0	<0.01
C00016	FAD	0.0	n.s.
C00018	Pyridoxal_phosphate	0.0	<0.01
C00019	S-Adenosyl-L-methionine	-3.453	<0.01
C00153	Nicotinamide	-2.0	<0.01
C00152	L-Asparagine	2.652	n.s.
C00155	L-Homocysteine	0.0	<0.01
C02835	Imidazole-4-acetate	0.0	<0.01
C05714	alpha-Aminopropiononitrile	0.0	<0.01
C05715	gamma-Amino-gamma-cyanobutanoate	0.0	<0.01
C05711	gamma-Glutamyl-beta-cyanoalanine	0.0	<0.01
C02713	N-Acetylmuramate	0.0	<0.01
C02336	beta-D-Fructose	0.0	<0.01
C14108	4-Hydroxymethylsalicylaldehyde	-3.17	<0.01
C02331	Vinylacetyl-CoA	0.0	n.s.
C00058	Formate	4.644	<0.01
C06320	Precorrin_6X	0.0	n.s.
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	0.585	<0.01
C00655	Xanthosine_5'-phosphate	2.851	n.s.
C00301	ADP-ribose	0.0	<0.01
C00302	DL-Glutamate	0.0	<0.01
C00718	Amylose	0.0	n.s.
C02232	3-Oxoadipyl-CoA	-2.585	<0.01
C14089	1-Hydroxymethylnaphthalene	3.087	<0.01
C14107	2-Hydroxy-4-hydroxymethylbenzalpyruvate	3.17	<0.01
C14086	2-Hydroxy-3-methylbenzalpyruvate	3.17	<0.01
C14087	3-Methylsalicylaldehyde	-3.17	<0.01
C17551	2-Polyprenyl-6-hydroxyphenol	0.0	<0.01
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	0.0	<0.01
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	0.0	<0.01
C01127	4-Hydroxy-2-oxoglutarate	0.0	<0.01
C06188	Salicin_6-phosphate	1.0	<0.01
C05665	3-Aminopropanal	0.0	<0.01
C03058	2-Hydroxyglutaryl-CoA	3.17	<0.01
C06186	Arbutin	0.0	<0.01
C06187	Arbutin_6-phosphate	0.0	n.s.
C18902	Methylselenic_acid	2.807	<0.01
C03294	N-Formylmethionyl-tRNA	-1.585	<0.01
C02051	Lipoylprotein	-0.0	<0.01
C03114	Dimethylbenzimidazole	0.0	<0.01
C06611	trans-3-Chloro-2-propene-1-ol	0.0	n.s.
C06612	cis-3-Chloro-2-propene-1-ol	0.0	n.s.
C04088	Octadecanoyl-[acyl-carrier_protein]	-1.0	<0.01
C06614	trans-3-Chloroacrylic_acid	0.0	n.s.
C06615	cis-3-Chloroacrylic_acid	0.0	n.s.
C06755	Chloroacetic_acid	0.0	n.s.
C06754	Chloroacetaldehyde	0.0	n.s.
C00979	O-Acetyl-L-serine	0.0	<0.01
C00877	Crotonoyl-CoA	0.0	n.s.
C16273	3-Hydroxy-5-oxohexanoyl-CoA	0.0	<0.01
C16272	3-Hydroxy-5-oxohexanoate	0.0	<0.01
C04246	But-2-enoyl-[acyl-carrier_protein]	-0.0	<0.01
C00409	Methanethiol	0.0	<0.01
C03373	Aminoimidazole_ribotide	0.0	n.s.
C16074	Phenylacetonitrile	0.0	<0.01
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	0.0	<0.05
C00407	L-Isoleucine	4.087	<0.05
C01401	Alanine	0.0	<0.01
C01151	D-Ribose_1,5-bisphosphate	0.0	<0.01
C06056	4-Hydroxy-L-threonine	0.0	<0.01
C06506	Adenosyl_cobyrinate_a,c_diamide	0.0	n.s.
C06055	O-Phospho-4-hydroxy-L-threonine	0.0	<0.01
C03479	Folinic_acid	0.0	<0.01
C01412	Butanal	4.087	<0.05
C06114	gamma-Glutamyl-beta-aminopropiononitrile	0.0	<0.01
C06508	Adenosyl_cobinamide	0.0	n.s.
C06509	Adenosyl_cobinamide_phosphate	0.0	n.s.
C09332	Tetrahydrofolyl-[Glu](2)	-0.0	<0.01
C06032	D-erythro-3-Methylmalate	0.0	<0.01
C01157	Hydroxyproline	0.0	n.s.
C02576	Perillyl_aldehyde	0.0	<0.01
C03972	2,3,4,5-Tetrahydrodipicolinate	2.29	<0.01
C03974	2-Acyl-sn-glycerol_3-phosphate	0.0	<0.01
C00577	D-Glyceraldehyde	-3.7	<0.01
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	0.0	n.s.
C00279	D-Erythrose_4-phosphate	-2.731	<0.01
C13632	4,4'-Dihydroxy-alpha-methylstilbene	0.0	n.s.
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-0.0	n.s.
C01801	Deoxyribose	0.0	<0.01
C00275	D-Mannose_6-phosphate	-1.322	<0.01
C00270	N-Acetylneuraminate	6.304	<0.01
C00900	2-Acetolactate	0.0	<0.01
C00479	Propanal	0.0	<0.01
C00475	Cytidine	0.0	n.s.
C12215	Iminoerythrose_4-phosphate	-4.248	n.s.
C12214	Aminofructose_6-phosphate	4.248	n.s.
C00294	Inosine	1.585	n.s.
C00295	Orotate	0.0	n.s.
C00357	N-Acetyl-D-glucosamine_6-phosphate	-1.874	<0.01
C05698	Selenohomocysteine	0.0	<0.01
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	0.0	<0.01
C00353	Geranylgeranyl_diphosphate	-2.322	<0.01
C00352	D-Glucosamine_6-phosphate	-1.848	n.s.
C00299	Uridine	0.0	<0.05
C02166	Leukotriene_C4	0.0	<0.01
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	0.0	<0.01
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0.0	<0.01
C05979	Propane-1-ol	0.0	<0.01
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-2.0	<0.01
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-2.0	<0.01
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	0.0	<0.01
C05596	p-Hydroxyphenylacetylglycine	0.0	<0.01
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	0.0	<0.01
C04046	3-D-Glucosyl-1,2-diacylglycerol	0.0	n.s.
C05382	Sedoheptulose_7-phosphate	-2.791	n.s.
C00120	Biotin	0.0	<0.01
C00121	D-Ribose	0.0	<0.01
C00122	Fumarate	-1.155	n.s.
C00123	L-Leucine	3.585	<0.01
C00129	Isopentenyl_diphosphate	1.585	n.s.
C15532	N-Acetyl-L-citrulline	0.0	<0.01
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	0.0	n.s.
C11934	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA	-3.17	<0.01
C15973	Enzyme_N6-(dihydrolipoyl)lysine	0.0	<0.01
C03028	Thiamin_triphosphate	-1.0	<0.01
C05749	Hexanoyl-[acp]	3.0	<0.01
C20589	D-Glucosaminate-6-phosphate	0.0	<0.01
C05747	(R)-3-Hydroxyhexanoyl-[acp]	1.0	<0.01
C05746	3-Oxohexanoyl-[acp]	-3.17	<0.01
C05745	Butyryl-[acp]	3.0	<0.01
C05744	Acetoacetyl-[acp]	-1.907	<0.01
C03150	Nicotinamide-beta-riboside	2.0	<0.01
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	0.263	<0.01
C02091	(S)-Ureidoglycine	0.0	<0.01
C00726	Nitrile	0.0	<0.01
C00055	CMP	0.0	n.s.
C03539	S-Ribosyl-L-homocysteine	-1.0	n.s.
C00199	D-Ribulose_5-phosphate	0.0	<0.01
C00051	Glutathione	0.0	<0.01
C00052	UDP-alpha-D-galactose	0.193	n.s.
C00194	Cobamide_coenzyme	-0.415	<0.01
C00197	3-Phospho-D-glycerate	2.484	n.s.
C03785	D-Tagatose_1,6-bisphosphate	0.0	<0.01
C02714	N-Acetylputrescine	0.0	<0.01
C00192	Hydroxylamine	0.0	<0.01
C00354	D-Fructose_1,6-bisphosphate	-1.0	<0.01
C01118	O-Succinyl-L-homoserine	0.0	n.s.
C01050	UDP-N-acetylmuramate	1.778	n.s.
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	<0.01
C05130	Imidazole-4-acetaldehyde	0.0	<0.01
C00206	dADP	6.652	<0.01
C06156	alpha-D-Glucosamine_1-phosphate	0.0	n.s.
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-0.0	<0.05
C20423	alpha-D-Ribose_1-methylphosphonate_5-phosphate	0.0	<0.01
C20422	alpha-D-Ribose_1-methylphosphonate_5-triphosphate	0.0	<0.01
C03492	D-4'-Phosphopantothenate	-1.585	<0.01
C02457	Propane-1,3-diol	0.0	<0.01
C06010	(S)-2-Acetolactate	0.0	<0.01
C00831	Pantetheine	2.585	<0.01
