Compound_code	Compound_name	Metabolite_score	Sim_Mean	Sim_StD	Std_from_Sim_Mean
C03512	L-Tryptophanyl-tRNA(Trp)	-1.585	-1.287	2.02	0
C06033	Parapyruvate	0.0	0.0	0.0	0
C12147	L-Threonine_O-3-phosphate	-0.0	-0.139	3.455	0
C00329	D-Glucosamine	0.0	1.301	2.109	0
C04462	N-Succinyl-2-L-amino-6-oxoheptanedioate	-2.0	0.056	2.226	0
C06408	Precorrin_8X	1.58	1.501	2.249	0
C02741	Phosphoribosyl-AMP	0.0	0.0	0.0	0
C06407	Precorrin_4	1.0	-0.089	3.316	0
C06406	Precorrin_3B	0.0	1.402	2.143	0
C20373	3-Hydroxyglutaryl-[acp]_methyl_ester	1.0	-0.039	3.468	0
C20372	3-Ketoglutaryl-[acp]_methyl_ester	-3.322	0.073	3.559	0
C20377	3-Hydroxypimeloyl-[acp]_methyl_ester	1.0	-0.039	3.468	0
C20376	3-Ketopimeloyl-[acp]_methyl_ester	-3.322	0.073	3.559	0
C20375	Glutaryl-[acp]_methyl_ester	3.458	1.445	2.213	0
C20374	Enoylglutaryl-[acp]_methyl_ester	-1.585	-1.437	2.141	0
C05897	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	1.585	0.075	3.471	0
C20378	Enoylpimeloyl-[acp]_methyl_ester	-1.585	-1.437	2.141	0
C00804	Propynoate	0.0	-1.424	2.151	0
C00969	3-Hydroxypropanal	0.0	1.479	2.194	0
C11545	Cobalt-precorrin_8	1.58	-0.074	3.569	0
C00966	2-Dehydropantoate	0.0	0.097	3.084	0
C11540	Cobalt-precorrin_4	1.0	-0.089	3.316	0
C11542	Cobalt-precorrin_6	0.0	-0.011	3.374	0
C11543	Cobalt-dihydro-precorrin_6	0.0	-0.068	3.347	0
C02282	Glutaminyl-tRNA	0.0	0.0	0.0	0
C04916	N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide	0.0	0.491	3.469	0
C00415	Dihydrofolate	-0.0	-1.437	2.299	0
C00416	Phosphatidate	1.874	-0.234	3.176	0
C00417	cis-Aconitate	0.0	0.0	0.0	0
C03460	2-Methylprop-2-enoyl-CoA	-4.644	-1.391	2.117	1
C04851	MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol	1.585	0.075	3.471	0
C03345	2-Methylbut-2-enoyl-CoA	0.0	0.0	0.0	0
C00993	D-Alanyl-D-alanine	-0.0	-0.037	3.434	0
C00620	alpha-D-Ribose_1-phosphate	0.993	1.78	2.163	0
C11355	4-Amino-4-deoxychorismate	0.0	-0.572	3.478	0
C05951	Leukotriene_D4	0.0	-1.401	2.129	0
C05576	3,4-Dihydroxyphenylethyleneglycol	0.0	0.0	0.0	0
C05577	3,4-Dihydroxymandelaldehyde	0.0	0.0	0.0	0
C03263	Coproporphyrinogen_III	0.993	1.391	2.117	0
C00378	Thiamine	0.0	0.0	0.0	0
C00242	Guanine	1.178	0.187	3.723	0
C00245	Taurine	0.0	1.4	2.129	0
C00246	Butanoic_acid	0.0	0.0	0.0	0
C00624	N-Acetyl-L-glutamate	0.0	0.031	3.507	0
C16587	3-Carbamoyl-2-phenylpropionaldehyde	0.0	-1.362	2.133	0
C02170	Methylmalonate	0.0	-1.424	2.151	0
C00568	4-Aminobenzoate	0.0	-0.018	3.287	0
C01099	L-Fuculose_1-phosphate	0.0	1.467	2.166	0
C01097	D-Tagatose_6-phosphate	2.676	1.702	2.228	0
C01096	Sorbitol_6-phosphate	0.0	-0.725	3.786	0
C01094	D-Fructose_1-phosphate	3.273	-0.275	3.763	0
C05682	Phosphonoacetate	5.357	1.396	2.107	1
C00341	Geranyl_diphosphate	0.0	0.0	0.0	0
C00342	Thioredoxin	-1.652	0.779	3.506	0
C00343	Thioredoxin_disulfide	1.737	-0.779	3.517	0
C00344	Phosphatidylglycerol	0.993	1.458	2.081	0
C05684	Selenite	2.805	1.405	2.182	0
C00061	FMN	0.0	0.0	0.0	0
C00060	Carboxylate	0.0	-1.431	2.104	0
C00063	CTP	6.902	2.792	2.284	1
C00062	L-Arginine	0.404	1.904	2.209	0
C00065	L-Serine	2.028	0.552	2.975	0
C00064	L-Glutamine	0.931	0.828	3.275	0
C11811	1-Hydroxy-2-methyl-2-butenyl_4-diphosphate	0.0	-0.095	3.337	0
C16633	5-Fluorouridine	0.0	1.414	2.133	0
C04675	3-Hydroxy-3-(4-methylpent-3-en-1-yl)glutaryl-CoA	0.0	1.304	2.071	0
C16631	alpha-Fluoro-beta-ureidopropionic_acid	0.0	-1.393	2.143	0
C04677	1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide	-3.838	-0.423	3.793	0
C16635	5'-Deoxy-5-fluorocytidine	0.0	1.575	2.197	0
C16634	5-Fluorouridine_monophosphate	0.0	-1.416	2.134	0
C19673	Malonyl-[acp]_methyl_ester	3.458	1.445	2.213	0
C03752	2-Amino-2-deoxy-D-gluconate	0.0	2.52	2.359	1
C05923	2,5-Diaminopyrimidine_nucleoside_triphosphate	0.0	0.0	0.0	0
C05922	Formamidopyrimidine_nucleoside_triphosphate	0.0	0.0	0.0	0
C05921	Biotinyl-5'-AMP	0.0	0.0	0.0	0
C00748	Siroheme	0.0	0.0	0.0	0
C04079	N-((R)-Pantothenoyl)-L-cysteine	2.583	1.324	2.068	0
C00668	alpha-D-Glucose_6-phosphate	1.699	-0.721	3.472	0
C01268	5-Amino-6-(5'-phosphoribosylamino)uracil	0.0	0.0	0.0	0
C00666	LL-2,6-Diaminoheptanedioate	0.0	0.182	3.25	0
C00663	beta-D-Glucose_1-phosphate	0.0	-0.01	3.518	0
C02163	L-Arginyl-tRNA(Arg)	-2.0	-1.5	2.245	0
C00988	2-Phosphoglycolate	0.0	1.435	2.178	0
C00989	4-Hydroxybutanoic_acid	0.0	1.344	2.112	0
C00114	Choline	0.0	-1.567	2.334	0
C00117	D-Ribose_5-phosphate	5.72	-0.59	3.674	1
C00116	Glycerol	0.0	0.0	0.0	0
C00111	Glycerone_phosphate	-1.363	-0.12	2.745	0
C02380	6-Mercaptopurine	3.32	1.596	2.328	0
C00112	CDP	-3.154	-0.115	3.554	0
C00119	5-Phospho-alpha-D-ribose_1-diphosphate	-5.725	0.219	2.568	2
C00118	D-Glyceraldehyde_3-phosphate	4.145	0.434	3.585	1
C06416	Precorrin_5	-1.585	-1.358	2.121	0
C11929	Perillyl-CoA	3.32	1.308	2.127	0
C01346	dUDP	-1.0	-0.304	3.154	0
C11924	Perillic_acid	0.0	-1.424	2.151	0
C05750	3-Oxooctanoyl-[acp]	-2.907	0.068	3.288	0
C05751	trans-Oct-2-enoyl-[acp]	-0.0	0.235	3.547	0
C14145	(3S)-3-Hydroxyadipyl-CoA	2.805	1.46	2.224	0
C05753	3-Oxodecanoyl-[acp]	-2.907	0.068	3.288	0
C05754	trans-Dec-2-enoyl-[acp]	-0.0	0.235	3.547	0
C05755	Decanoyl-[acp]	3.17	-0.192	3.578	0
C05756	3-Oxododecanoyl-[acp]	-3.322	0.073	3.559	0
C05757	(R)-3-Hydroxydodecanoyl-[acp]	1.0	-0.039	3.468	0
C05758	trans-Dodec-2-enoyl-[acp]	-0.0	0.235	3.547	0
C05759	3-Oxotetradecanoyl-[acp]	-3.322	0.073	3.559	0
C05811	2-Octaprenyl-6-hydroxyphenol	0.0	-1.399	2.158	0
C05810	2-Octaprenylphenol	0.0	1.398	2.157	0
C00236	3-Phospho-D-glyceroyl_phosphate	0.0	0.0	0.0	0
C00188	L-Threonine	3.481	0.82	3.217	0
C00189	Ethanolamine	2.735	0.558	3.77	0
C00186	(S)-Lactate	0.0	0.0	0.0	0
C00185	Cellobiose	0.0	-1.417	2.187	0
C00183	L-Valine	3.458	1.425	2.146	0
C00180	Benzoate	0.0	-1.431	2.104	0
C00181	D-Xylose	0.0	-0.281	3.448	0
C02909	(2-Naphthyl)methanol	3.246	1.781	2.207	0
C00159	D-Mannose	1.803	2.523	2.28	0
C04216	all-trans-Heptaprenyl_diphosphate	-0.0	-1.356	2.205	0
C04051	5-Amino-4-imidazolecarboxyamide	-2.0	-1.374	2.1	0
C00011	CO2	4.447	0.549	3.528	1
C04352	(R)-4'-Phosphopantothenoyl-L-cysteine	0.0	0.012	1.923	0
C02553	L-Seryl-tRNA(Ser)	-5.0	-1.384	2.131	1
C16348	cis-3-Chloroallyl_aldehyde	-1.511	-0.15	2.376	0
C02946	4-Acetamidobutanoate	0.0	-1.424	2.151	0
C16586	2-Phenyl-1,3-propanediol_monocarbamate	0.0	1.361	2.133	0
C05378	beta-D-Fructose_1,6-bisphosphate	1.663	0.188	3.316	0
C00015	UDP	-2.719	-0.307	3.173	0
C05100	3-Ureidoisobutyrate	0.0	-1.393	2.143	0
C06148	2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-amino-4-oxopyrimidine	0.0	0.0	0.0	0
C00151	L-Amino_acid	0.0	1.4	2.129	0
C05823	3-Mercaptolactate	0.0	-1.412	2.207	0
C02988	L-Histidyl-tRNA(His)	-1.585	-1.399	2.18	0
C16551	Alcophosphamide	0.0	-1.362	2.133	0
C06715	3-Oxopimeloyl-CoA	0.0	1.429	2.246	0
C06714	3-Hydroxypimeloyl-CoA	-3.322	-1.31	2.127	0
C16466	7-Methyl-3-oxo-6-octenoyl-CoA	0.0	-1.305	2.071	0
C16219	3-Oxostearoyl-[acp]	-3.322	0.073	3.559	0
C09306	Sulfur_dioxide	-0.0	-1.447	2.203	0
C00254	Prephenate	0.0	0.041	2.262	0
C16237	Protein_N6-(lipoyl)lysine	0.0	-1.452	2.215	0
C00931	Porphobilinogen	0.0	1.323	2.066	0
C04327	4-Methyl-5-(2-phosphoethyl)-thiazole	0.0	-0.366	3.492	0
C16238	Lipoyl-AMP	0.0	0.0	0.0	0
C18239	Precursor_Z	0.0	-1.798	2.185	0
C00446	alpha-D-Galactose_1-phosphate	0.0	1.406	2.117	0
C00445	5,10-Methenyltetrahydrofolate	0.415	0.007	2.896	0
C01762	Xanthosine	1.454	1.877	2.291	0
C00441	L-Aspartate_4-semialdehyde	4.222	-0.167	3.013	1
C00440	5-Methyltetrahydrofolate	2.612	-0.056	2.25	1
C04281	L-1-Pyrroline-3-hydroxy-5-carboxylate	0.0	0.0	0.0	0
C00526	Deoxyuridine	0.0	0.271	3.607	0
C00527	Glutaryl-CoA	0.0	-1.431	2.246	0
C11453	2-C-Methyl-D-erythritol_2,4-cyclodiphosphate	0.0	-0.093	3.208	0
C00522	(R)-Pantoate	0.0	-0.189	2.961	0
C00448	trans,trans-Farnesyl_diphosphate	-0.585	0.279	2.974	0
C04882	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine	0.0	0.006	3.445	0
C01024	Hydroxymethylbilane	-0.0	-1.324	2.066	0
C12739	5'-Deoxy-5-fluorouridine	-0.0	-1.576	2.197	0
C00009	Orthophosphate	-0.0	-1.49	2.223	0
C01909	Dethiobiotin	0.0	0.0	0.0	0
C00068	Thiamin_diphosphate	0.0	0.062	2.309	0
C04133	N-Acetyl-L-glutamate_5-phosphate	0.0	-0.09	3.357	0
C03838	5'-Phosphoribosylglycinamide	0.0	-0.117	3.378	0
C00288	HCO3-	0.0	2.413	2.224	1
C03722	Quinolinate	0.0	-0.267	3.37	0
C05402	Melibiose	0.0	-1.378	2.162	0
C04619	(3R)-3-Hydroxydecanoyl-[acyl-carrier_protein]	0.585	-0.048	3.193	0
C05404	D-Gal_alpha_1->6D-Gal_alpha_1->6D-Glucose	0.0	-1.378	2.162	0
C03939	Acetyl-[acyl-carrier_protein]	1.948	0.067	2.686	0
C00054	Adenosine_3',5'-bisphosphate	-2.322	-1.471	2.15	0
C04039	2,3-Dihydroxy-3-methylbutanoate	0.0	-0.054	3.546	0
C00627	Pyridoxine_phosphate	0.0	-1.463	2.217	0
C00459	dTTP	0.18	2.831	2.122	1
C01228	Guanosine_3',5'-bis(diphosphate)	0.0	-1.461	2.198	0
C00239	dCMP	0.0	0.0	0.0	0
C00725	Lipoate	0.0	1.451	2.215	0
C00231	D-Xylulose_5-phosphate	-1.107	-0.578	2.913	0
C00232	Succinate_semialdehyde	0.0	-0.054	2.364	0
C00233	4-Methyl-2-oxopentanoate	0.0	-1.465	2.217	0
C00234	10-Formyltetrahydrofolate	-2.08	0.278	2.982	0
C00235	Dimethylallyl_diphosphate	1.678	0.096	3.128	0
C01613	Stachyose	0.0	1.377	2.161	0
C00237	CO	3.02	-0.065	2.258	1
C00010	CoA	1.0	-0.407	3.54	0
C00158	Citrate	0.0	0.0	0.0	0
C00012	Peptide	6.15	1.516	2.207	2
C00014	Ammonia	-1.843	-0.978	3.575	0
C05980	Cardiolipin	-1.0	-1.46	2.081	0
C00016	FAD	0.0	0.0	0.0	0
C00018	Pyridoxal_phosphate	0.0	-1.463	2.217	0
C00019	S-Adenosyl-L-methionine	-3.591	-0.158	2.983	1
C00153	Nicotinamide	-2.17	-1.934	2.311	0
C00152	L-Asparagine	2.745	0.137	3.201	0
C00155	L-Homocysteine	0.0	-0.717	3.762	0
C02835	Imidazole-4-acetate	0.0	-1.424	2.151	0
C05714	alpha-Aminopropiononitrile	0.0	1.429	2.104	0
C05715	gamma-Amino-gamma-cyanobutanoate	0.0	1.429	2.104	0
C05711	gamma-Glutamyl-beta-cyanoalanine	0.0	-1.401	2.129	0
C02713	N-Acetylmuramate	0.0	1.388	2.111	0
C02336	beta-D-Fructose	0.0	0.038	3.413	0
C14108	4-Hydroxymethylsalicylaldehyde	-3.322	-1.31	2.127	0
C02331	Vinylacetyl-CoA	0.0	0.0	0.0	0
C00058	Formate	4.794	0.584	3.167	1
C06320	Precorrin_6X	0.0	0.0	0.0	0
C04620	(3R)-3-Hydroxyoctanoyl-[acyl-carrier_protein]	0.585	-0.048	3.193	0
C00655	Xanthosine_5'-phosphate	3.096	-0.543	3.15	1
C00301	ADP-ribose	0.0	1.281	2.09	0
C00302	DL-Glutamate	0.0	-1.431	2.104	0
C00718	Amylose	0.0	0.086	2.625	0
C02232	3-Oxoadipyl-CoA	-2.807	-1.461	2.225	0
C14089	1-Hydroxymethylnaphthalene	3.246	1.781	2.207	0
C14107	2-Hydroxy-4-hydroxymethylbenzalpyruvate	3.32	1.308	2.127	0
C14086	2-Hydroxy-3-methylbenzalpyruvate	3.32	1.308	2.127	0
C14087	3-Methylsalicylaldehyde	-3.322	-1.31	2.127	0
C17551	2-Polyprenyl-6-hydroxyphenol	0.0	-1.399	2.158	0
C17556	di-trans,poly-cis-Undecaprenyl_phosphate	0.0	-0.011	3.461	0
C04442	2-Dehydro-3-deoxy-6-phospho-D-gluconate	0.0	-0.149	2.869	0
C01127	4-Hydroxy-2-oxoglutarate	0.0	1.381	2.18	0
C06188	Salicin_6-phosphate	0.993	0.056	3.37	0
C05665	3-Aminopropanal	0.0	1.422	2.151	0
C03058	2-Hydroxyglutaryl-CoA	3.32	1.308	2.127	0
C06186	Arbutin	0.0	1.9	2.204	0
C06187	Arbutin_6-phosphate	0.0	-0.456	3.539	0
C18902	Methylselenic_acid	2.805	1.405	2.182	0
C03294	N-Formylmethionyl-tRNA	-1.585	-1.381	2.175	0
C02051	Lipoylprotein	-0.0	0.584	3.555	0
C03114	Dimethylbenzimidazole	0.0	1.435	2.216	0
C06611	trans-3-Chloro-2-propene-1-ol	0.0	0.0	0.0	0
C06612	cis-3-Chloro-2-propene-1-ol	0.0	0.0	0.0	0
C04088	Octadecanoyl-[acyl-carrier_protein]	-1.0	-1.584	2.371	0
C06614	trans-3-Chloroacrylic_acid	0.0	0.0	0.0	0
C06615	cis-3-Chloroacrylic_acid	0.0	0.0	0.0	0
C06755	Chloroacetic_acid	0.0	0.0	0.0	0
C06754	Chloroacetaldehyde	0.0	0.0	0.0	0
C00979	O-Acetyl-L-serine	0.0	1.673	2.134	0
C00877	Crotonoyl-CoA	0.0	-0.02	1.932	0
C16273	3-Hydroxy-5-oxohexanoyl-CoA	0.0	-0.55	3.662	0
C16272	3-Hydroxy-5-oxohexanoate	0.0	1.981	2.316	0
C04246	But-2-enoyl-[acyl-carrier_protein]	-0.0	0.235	3.547	0
C00409	Methanethiol	0.0	-1.494	2.219	0
C03373	Aminoimidazole_ribotide	0.0	0.025	3.527	0
C16074	Phenylacetonitrile	0.0	1.429	2.104	0
C04778	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	0.0	-0.028	3.061	0
C00407	L-Isoleucine	4.247	1.351	2.107	1
C01401	Alanine	0.0	-1.431	2.104	0
C01151	D-Ribose_1,5-bisphosphate	0.0	-1.507	2.244	0
C06056	4-Hydroxy-L-threonine	0.0	-1.351	2.151	0
C06506	Adenosyl_cobyrinate_a,c_diamide	0.0	0.0	0.0	0
C06055	O-Phospho-4-hydroxy-L-threonine	0.0	1.35	2.151	0
C03479	Folinic_acid	0.0	1.354	2.111	0
C01412	Butanal	4.247	1.323	2.123	1
C06114	gamma-Glutamyl-beta-aminopropiononitrile	0.0	-1.401	2.129	0
C06508	Adenosyl_cobinamide	0.0	0.036	3.544	0
C06509	Adenosyl_cobinamide_phosphate	0.0	0.026	2.573	0
C09332	Tetrahydrofolyl-[Glu](2)	-0.0	-1.437	2.299	0
C06032	D-erythro-3-Methylmalate	0.0	-0.256	3.041	0
C01157	Hydroxyproline	0.0	0.0	0.0	0
C02576	Perillyl_aldehyde	0.0	1.422	2.151	0
C03972	2,3,4,5-Tetrahydrodipicolinate	2.427	-0.103	2.639	0
C03974	2-Acyl-sn-glycerol_3-phosphate	0.0	-1.431	2.246	0
C00577	D-Glyceraldehyde	-3.807	-0.015	3.4	1
C01300	2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine	0.0	0.562	3.553	0
C00279	D-Erythrose_4-phosphate	-2.648	-0.382	3.718	0
C13632	4,4'-Dihydroxy-alpha-methylstilbene	0.0	0.0	0.0	0
C01304	2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one	-0.0	0.038	3.415	0
C01801	Deoxyribose	0.0	1.525	2.244	0
C00275	D-Mannose_6-phosphate	-1.322	-1.105	3.676	0
C00270	N-Acetylneuraminate	6.459	1.347	2.065	2
C00900	2-Acetolactate	0.0	-0.025	3.474	0
C00479	Propanal	0.0	1.479	2.194	0
C00475	Cytidine	0.0	-0.028	1.958	0
C12215	Iminoerythrose_4-phosphate	-4.248	-1.506	2.271	1
C12214	Aminofructose_6-phosphate	4.247	1.505	2.271	1
C00294	Inosine	1.733	0.51	3.594	0
C00295	Orotate	0.0	0.0	0.0	0
C00357	N-Acetyl-D-glucosamine_6-phosphate	-2.0	-0.064	3.378	0
C05698	Selenohomocysteine	0.0	0.065	3.534	0
C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	0.0	0.094	2.338	0
C00353	Geranylgeranyl_diphosphate	-2.322	-1.4	2.229	0
C00352	D-Glucosamine_6-phosphate	-2.07	0.173	3.503	0
C00299	Uridine	0.0	-0.085	2.0	0
C02166	Leukotriene_C4	0.0	1.4	2.129	0
C04666	D-erythro-1-(Imidazol-4-yl)glycerol_3-phosphate	0.0	-0.442	3.34	0
C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	0.0	-0.101	2.745	0
C05979	Propane-1-ol	0.0	-1.481	2.194	0
C05898	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	-2.0	-1.523	2.206	0
C05893	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine	-2.0	-1.523	2.206	0
C05892	UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine	0.0	1.442	2.183	0
C05596	p-Hydroxyphenylacetylglycine	0.0	-1.431	2.246	0
C01279	4-Amino-5-hydroxymethyl-2-methylpyrimidine	0.0	-0.14	3.448	0
C04046	3-D-Glucosyl-1,2-diacylglycerol	0.0	0.0	0.0	0
C05382	Sedoheptulose_7-phosphate	-2.791	0.065	2.93	0
C00120	Biotin	0.0	0.036	3.038	0
C00121	D-Ribose	0.0	1.525	2.244	0
C00122	Fumarate	-1.322	0.005	1.654	0
C00123	L-Leucine	3.699	1.524	2.234	0
C00129	Isopentenyl_diphosphate	1.585	0.095	3.071	0
C15532	N-Acetyl-L-citrulline	0.0	1.39	2.207	0
C00356	(S)-3-Hydroxy-3-methylglutaryl-CoA	0.0	0.0	0.0	0
C11934	2-Hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA	-3.322	-1.31	2.127	0
C15973	Enzyme_N6-(dihydrolipoyl)lysine	0.0	1.824	2.196	0
C03028	Thiamin_triphosphate	-1.0	-1.511	2.19	0
C05749	Hexanoyl-[acp]	3.17	-0.192	3.578	0
C20589	D-Glucosaminate-6-phosphate	0.0	-2.522	2.357	1
C05747	(R)-3-Hydroxyhexanoyl-[acp]	1.0	-0.039	3.468	0
C05746	3-Oxohexanoyl-[acp]	-3.322	0.073	3.559	0
C05745	Butyryl-[acp]	3.17	-0.192	3.578	0
C05744	Acetoacetyl-[acp]	-2.044	-0.294	3.416	0
C03150	Nicotinamide-beta-riboside	2.167	1.932	2.312	0
C04618	(3R)-3-Hydroxybutanoyl-[acyl-carrier_protein]	0.263	-0.055	2.987	0
C02091	(S)-Ureidoglycine	0.0	-1.468	2.234	0
C00726	Nitrile	0.0	1.429	2.104	0
C00055	CMP	0.0	0.0	0.0	0
C03539	S-Ribosyl-L-homocysteine	-1.0	0.215	3.433	0
C00199	D-Ribulose_5-phosphate	0.0	0.563	3.194	0
C00051	Glutathione	0.0	1.4	2.129	0
C00052	UDP-alpha-D-galactose	0.193	-0.019	2.83	0
C00194	Cobamide_coenzyme	-0.415	-1.836	2.208	0
C00197	3-Phospho-D-glycerate	2.679	-0.269	3.564	0
C03785	D-Tagatose_1,6-bisphosphate	0.0	-0.223	3.584	0
C02714	N-Acetylputrescine	0.0	-1.422	2.193	0
C00192	Hydroxylamine	0.0	1.514	2.294	0
C00354	D-Fructose_1,6-bisphosphate	-1.115	0.075	2.08	0
C01118	O-Succinyl-L-homoserine	0.0	0.0	0.0	0
C01050	UDP-N-acetylmuramate	1.778	-0.14	3.369	0
C04574	di-trans,poly-cis-Undecaprenyl_diphosphate	-1.0	0.093	3.446	0
C05130	Imidazole-4-acetaldehyde	0.0	1.422	2.151	0
C00206	dADP	6.804	-0.661	3.447	2
C06156	alpha-D-Glucosamine_1-phosphate	0.0	0.0	0.0	0
C04807	2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine	-0.0	-0.225	3.444	0
C20423	alpha-D-Ribose_1-methylphosphonate_5-phosphate	0.0	0.016	3.509	0
C20422	alpha-D-Ribose_1-methylphosphonate_5-triphosphate	0.0	-0.98	3.695	0
C03492	D-4'-Phosphopantothenate	-1.585	-0.001	3.257	0
C02457	Propane-1,3-diol	0.0	-1.481	2.194	0
C06010	(S)-2-Acetolactate	0.0	-0.016	3.099	0
C00831	Pantetheine	2.583	1.324	2.068	0
